############################################################
# CONCEPTUALIZATION: PRAKASH VAITHYANATHAN, INDIA          #
############################################################
System_Size_N,Mock_Theta_Coeff_an,Derived_Energy_E0
2,2.1503102006543378,-0.38280605555320707
4,3.2240749802939965,-0.29266152032223886
6,4.688547163232814,-0.2575204601951036
8,6.6053672920984825,-0.23598531807734316
10,9.069963825274762,-0.22049682757260114
12,12.198360033285773,-0.20844179326686632
14,16.127566770597436,-0.19860928782757473
16,21.017958922459254,-0.19033607869020777
18,27.056363277901266,-0.1832179010530448
20,34.45964068786687,-0.1769894402055893
22,43.47873720359205,-0.1714669099397996
24,54.403228426209346,-0.16651764575712555
26,67.5663990279153,-0.16204272321829477
28,83.35090860057078,-0.15796641107728684
30,102.19510171377888,-0.15422945827281312
32,124.60002617733427,-0.15078465051388426
34,151.13722965537787,-0.14759377146370123
36,182.45741123729562,-0.14462546618627314
38,219.3000114627629,-0.14185370283404267
40,262.5038317037001,-0.1392566419722905
42,313.01878178321783,-0.13681579034373964
44,371.9188633129517,-0.13451535729795572
46,440.41650550608443,-0.1323417583171466
48,519.878380225424,-0.13028322708413387
50,611.8428338080075,-0.12832950884056754
52,718.0390848265748,-0.1264716154472743
54,840.4083494642223,-0.1247016278523861
56,981.1270696556261,-0.12301253539136894
58,1142.6324336545758,-0.12139810399520791
60,1327.6503942957397,-0.11985276730117778
62,1539.2264070060023,-0.11837153606585714
64,1780.759127669352,-0.11694992232171458
66,2056.0373298472136,-0.11558387549925304
68,2369.2803216959765,-0.11426972832769063
70,2725.1821653050197,-0.1130041507788032
72,3128.9600252069745,-0.11178411066675348
74,3586.406998599602,-0.11060683978738958
76,4103.949807485238,-0.10946980469251176
78,4688.711762605351,-0.10837068136188062
80,5348.581440860691,-0.10730733316862817
82,6092.287552003401,-0.10627779163996937
84,6929.480506920267,-0.1052802396005681
86,7870.821238956562,-0.10431299635504163
88,8928.077871630627,-0.1033745046223171
90,10114.230870941477,-0.10246331898052503
92,11443.587368470646,-0.10157809561888603
94,12931.905392829409,-0.10071758322422283
96,14596.52880192164,-0.0998806148555791
98,16456.53376721401,-0.0990661006819484
100,18532.88772397054,-0.09827302147610856
