############################################################
# CONCEPTUALIZATION: PRAKASH VAITHYANATHAN, INDIA          #
############################################################
System_Size_N,QMC_Cost_Exponential,Mock_Modular_Cost_Polynomial
2,4,16
4,16,256
6,64,1296
8,256,4096
10,1024,10000
12,4096,20736
14,16384,38416
16,65536,65536
18,262144,104976
20,1048576,160000
22,4194304,234256
24,16777216,331776
26,67108864,456976
28,268435456,614656
30,1073741824,810000
32,4294967296,1048576
34,17179869184,1336336
36,68719476736,1679616
38,274877906944,2085136
40,1099511627776,2560000
42,4398046511104,3111696
44,17592186044416,3748096
46,70368744177664,4477456
48,281474976710656,5308416
50,1125899906842624,6250000
52,4503599627370496,7311616
54,18014398509481984,8503056
56,72057594037927936,9834496
58,288230376151711744,11316496
60,1152921504606846976,12960000
